ticket,time,date,hour,dir,lot,entry,sl,tp,exit,reason,risk,spread,risk_spread,r,duration_min,mods,max_lock_r,had_be,close_time
2,2025-11-22 10:12:04,2025-11-22,10,sell,0.02,84065.58,84372.81,,84006.11,SL,307.2299999999959,18.0,17.068333333333108,0.19356833642548563,57.18333333333333,1,0.2000130195618849,True,2025-11-22 11:09:15
4,2025-11-22 11:26:46,2025-11-22,11,sell,0.02,84169.92,84412.01,,84123.86,SL,242.0899999999965,18.0,13.44944444444425,0.19025982072782163,154.9,1,0.2000082613903877,True,2025-11-22 14:01:40
6,2025-11-22 20:37:01,2025-11-22,20,buy,0.03,84539.27,84385.3,84610.49,84385.01,SL,153.97000000000116,18.0,8.553888888888954,-1.0018834837955974,7.566666666666666,0,-999,False,2025-11-22 20:44:35
8,2025-11-22 22:15:19,2025-11-22,22,buy,0.03,84525.26,84392.99,84596.48,84598.18,TP,132.26999999998952,18.0,7.348333333332751,0.5512965903077344,0.5333333333333333,0,-999,False,2025-11-22 22:15:51
10,2025-11-23 11:46:00,2025-11-23,11,sell,0.03,86273.04,86462.18,86130.0,86463.43,SL,189.13999999999942,18.0,10.507777777777745,-1.0066088611610446,19.65,0,-999,False,2025-11-23 12:05:39
12,2025-11-23 19:58:44,2025-11-23,19,buy,0.02,87322.23,87037.88,,87378.32,SL,284.34999999999127,18.0,15.797222222221738,0.1972569017056894,56.95,1,0.20000000000004095,True,2025-11-23 20:55:41
14,2025-11-23 21:03:18,2025-11-23,21,buy,0.02,87346.14,87025.04,,87408.37,SL,321.1000000000058,18.0,17.838888888889212,0.19380255372156585,129.23333333333332,1,0.2,True,2025-11-23 23:12:32
16,2025-11-24 14:55:02,2025-11-24,14,buy,0.02,85740.92,85420.42,,86809.13,MARKET_CLOSE,320.5,18.0,17.805555555555557,3.3329485179407374,71.63333333333334,1,0.20000000000001816,True,2025-11-24 16:06:40
18,2025-11-25 11:09:59,2025-11-25,11,sell,0.03,87402.91,87555.34,87327.13,87326.93,TP,152.42999999999302,18.0,8.468333333332945,0.4984583087319685,10.633333333333333,0,-999,False,2025-11-25 11:20:37
20,2025-11-25 19:55:01,2025-11-25,19,sell,0.01,86814.38,87230.52,86586.52,87231.31,SL,416.1399999999994,18.0,23.118888888888858,-1.00189839957705,36.266666666666666,0,-999,False,2025-11-25 20:31:17
