ticket,time,date,hour,dir,lot,pos_mult,entry,initial_sl,tp,exit,reason,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time
2,2025-11-22 12:01:17,2025-11-22,12,sell,0.13,13.5,84069.75,84371.95,,84013.73,SL,302.1999999999971,0.18537392455329124,69.33333333333333,1,0.20000000000000964,63,0.284,-0.765,84118.41,84087.75,2025-11-22 13:10:37
4,2025-11-22 20:37:01,2025-11-22,20,buy,0.18,9.0,84539.27,84385.3,84610.49,84385.01,SL,153.97000000000116,-1.0018834837955974,7.566666666666666,0,-999,35,0.276,-1.618,84508.15,84521.27,2025-11-22 20:44:35
6,2025-11-23 20:00:23,2025-11-23,20,buy,0.13,13.5,87359.4,87031.33,,87423.87,SL,328.06999999999243,0.19651293931174033,184.85,1,0.19998780748011735,23,0.263,-0.702,87297.58,87341.4,2025-11-23 23:05:14
8,2025-11-24 14:55:02,2025-11-24,14,buy,0.13,13.5,85740.92,85420.42,,86809.13,MARKET_CLOSE,320.5,3.3329485179407374,71.63333333333334,1,0.20000000000001816,2,0.286,-2.597,85695.48,85722.92,2025-11-24 16:06:40
10,2025-11-25 20:00:59,2025-11-25,20,sell,0.09,9.0,86862.71,87287.84,86634.85,87288.99,SL,425.1299999999901,-1.0027050549243968,30.6,0,-999,59,0.252,-0.849,86918.94,86880.71,2025-11-25 20:31:35
12,2025-11-26 12:08:03,2025-11-26,12,sell,0.18,9.0,86808.01,87085.68,86580.15,86579.41,TP,277.66999999999825,0.8232794324197527,6.433333333333334,0,-999,22,0.255,-0.489,86864.76,86826.01,2025-11-26 12:14:29
14,2025-11-28 00:34:40,2025-11-28,0,sell,0.01,0.3,91326.82,91480.52,,90983.26,MARKET_CLOSE,153.6999999999971,2.235263500325431,41.766666666666666,1,0.20000000000003787,17,0.27,-1.62,91355.02,91344.82,2025-11-28 01:16:26
16,2025-11-28 03:40:18,2025-11-28,3,sell,0.01,0.3,91151.37,91338.95,,91340.82,SL,187.58000000000175,-1.0099690798593126,30.3,0,-999,18,0.276,-0.744,91193.51,91169.37,2025-11-28 04:10:36
18,2025-12-02 09:40:25,2025-12-02,9,sell,0.01,0.3,86703.31,86887.08,,86889.72,SL,183.77000000000407,-1.0143657833160982,25.25,0,-999,25,0.302,-2.292,86742.47,86721.31,2025-12-02 10:05:40
20,2025-12-04 14:41:27,2025-12-04,14,sell,0.13,13.5,92691.15,93072.64,,92615.23,SL,381.49000000000524,0.1990091483393987,31.166666666666668,1,0.20000524260134553,47,0.256,-0.477,92750.51,92709.15,2025-12-04 15:12:37
23,2025-12-04 16:38:43,2025-12-04,16,buy,0.09,9.0,92562.24,92016.84,92687.3,92688.43,TP,545.4000000000087,0.23137147048035525,2.9833333333333334,0,-999,2,0.258,-0.513,92522.73,92544.24,2025-12-04 16:41:42
22,2025-12-04 16:07:58,2025-12-04,16,sell,0.13,13.5,92829.56,93280.25,,92378.22,MARKET_CLOSE,450.6900000000023,1.0014422330204669,107.26666666666667,1,0.20000443764006068,41,0.256,-1.333,92888.9,92847.56,2025-12-04 17:55:14
26,2025-12-05 02:55:55,2025-12-05,2,buy,0.01,0.3,92557.55,92339.26,,92339.22,SL,218.29000000000815,-1.0001832424755766,45.1,0,-999,32,0.253,-0.58,92517.93,92539.55,2025-12-05 03:41:01
28,2025-12-06 22:45:09,2025-12-06,22,buy,0.01,0.2,89350.27,89246.72,89420.58,89243.95,SL,103.55000000000291,-1.0267503621439305,18.15,0,-999,9,0.258,-1.754,89320.17,89332.27,2025-12-06 23:03:18
30,2025-12-07 07:05:10,2025-12-07,7,buy,0.02,0.3,89611.6,89498.49,,89493.88,SL,113.11000000000058,-1.0407567854301172,5.433333333333334,0,-999,10,0.293,-1.098,89580.44,89593.6,2025-12-07 07:10:36
32,2025-12-09 13:42:04,2025-12-09,13,buy,0.01,0.3,90361.52,90202.07,,90201.49,SL,159.4499999999971,-1.0036375039197352,2.8,0,-999,38,0.272,-1.085,90328.25,90343.52,2025-12-09 13:44:52
34,2025-12-09 14:55:02,2025-12-09,14,buy,0.27,13.5,90343.29,90039.16,,91075.77,MARKET_CLOSE,304.1299999999901,2.408443757603769,37.416666666666664,1,0.20001315227042293,2,0.275,-1.409,90309.83,90325.29,2025-12-09 15:32:27
36,2025-12-12 12:54:41,2025-12-12,12,sell,0.63,9.0,92401.17,92557.36,92338.76,92334.86,TP,156.19000000000233,0.42454702605798506,12.916666666666666,0,-999,5,0.252,-0.678,92429.67,92419.17,2025-12-12 13:07:36
38,2025-12-12 14:32:57,2025-12-12,14,sell,0.94,13.5,92431.08,92607.77,,92611.03,SL,176.69000000000233,-1.0184503933442455,5.716666666666667,0,-999,18,0.254,-1.397,92459.64,92449.08,2025-12-12 14:38:40
40,2025-12-14 17:01:57,2025-12-14,17,sell,0.01,0.3,88990.32,89216.08,,88946.93,SL,225.75999999999476,0.1921952515946801,52.7,1,0.19999114103477045,32,0.251,-1.123,89024.84,89008.32,2025-12-14 17:54:39
42,2025-12-14 18:20:03,2025-12-14,18,sell,0.01,0.3,89007.38,89195.25,,88971.15,SL,187.86999999999534,0.19284611699585552,30.566666666666666,1,0.19997870868157724,3,0.3,-1.382,89045.1,89025.38,2025-12-14 18:50:37
44,2025-12-15 04:20:04,2025-12-15,4,buy,0.01,0.3,89530.73,89371.19,,89371.08,SL,159.5399999999936,-1.0006894822615056,3.9833333333333334,0,-999,4,0.295,-1.199,89478.8,89512.73,2025-12-15 04:24:03
46,2025-12-17 00:10:25,2025-12-17,0,buy,0.02,0.3,87711.08,87575.44,,87572.46,SL,135.63999999999942,-1.0219699203774397,3.2,0,-999,25,0.294,-1.65,87675.84,87693.08,2025-12-17 00:13:37
48,2025-12-17 01:22:18,2025-12-17,1,buy,0.01,0.2,87694.03,87558.52,87781.95,87762.07,MARKET_CLOSE,135.50999999999476,0.5021031658181003,2.216666666666667,0,-999,48,0.301,-1.941,87658.38,87676.03,2025-12-17 01:24:31
50,2025-12-17 01:36:22,2025-12-17,1,sell,0.01,0.2,87696.13,87870.42,87574.14,87574.12,TP,174.2899999999936,0.700040162946892,8.1,0,-999,82,0.309,-1.428,87739.3,87714.13,2025-12-17 01:44:28
52,2025-12-18 12:52:41,2025-12-18,12,buy,0.94,13.5,87095.9,86966.55,,87510.6,MARKET_CLOSE,129.34999999999127,3.206030150754075,9.933333333333334,1,0.20000000000009,18,0.267,-1.488,87067.06,87077.9,2025-12-18 13:02:37
54,2025-12-19 13:30:27,2025-12-19,13,sell,0.01,0.2,88020.41,88259.9,87898.3,87899.15,MARKET_CLOSE,239.4899999999907,0.5063259426281432,1.5,0,-999,12,0.252,-0.493,88058.96,88038.41,2025-12-19 13:31:57
56,2025-12-19 14:50:17,2025-12-19,14,sell,0.45,9.0,88147.22,88486.28,88025.11,88023.67,TP,339.0599999999977,0.36438978351915224,0.23333333333333334,0,-999,17,0.273,-2.051,88187.42,88165.22,2025-12-19 14:50:31
58,2025-12-20 13:53:22,2025-12-20,13,sell,0.03,0.3,88216.17,88372.95,,88185.16,SL,156.77999999999884,0.1977930858527554,53.06666666666667,1,0.20002551345835448,10,0.31,-0.394,88264.62,88234.17,2025-12-20 14:46:26
60,2025-12-21 11:01:17,2025-12-21,11,buy,0.03,0.3,88605.71,88441.3,,88633.82,SL,164.4100000000035,0.17097500152058867,100.15,1,0.19998783528975977,64,0.319,-1.286,88572.39,88587.71,2025-12-21 12:41:26
62,2025-12-22 11:21:14,2025-12-22,11,sell,0.02,0.2,89657.61,89837.06,89509.43,89837.29,SL,179.4499999999971,-1.0012816940651765,6.2,0,-999,74,0.268,-0.85,89702.05,89675.61,2025-12-22 11:27:26
64,2025-12-23 12:15:45,2025-12-23,12,buy,0.72,9.0,87749.93,87539.56,87924.94,87539.48,SL,210.36999999999534,-1.0003802823596604,15.483333333333333,0,-999,9,0.283,-0.605,87698.87,87731.93,2025-12-23 12:31:14
66,2025-12-23 13:22:30,2025-12-23,13,buy,0.01,0.2,87702.52,87524.71,87877.53,87523.18,SL,177.80999999999767,-1.0086046903999404,13.966666666666667,0,-999,121,0.273,-1.012,87652.65,87684.52,2025-12-23 13:36:28
68,2025-12-23 14:26:11,2025-12-23,14,buy,0.45,9.0,87684.14,87400.12,87910.61,87399.36,SL,284.0200000000041,-1.0026758678966086,7.05,0,-999,71,0.263,-0.903,87626.43,87666.14,2025-12-23 14:33:14
70,2025-12-23 14:35:16,2025-12-23,14,buy,0.27,9.0,87713.91,87389.88,87861.78,87387.95,SL,324.02999999999884,-1.0059562386199044,2.4,0,-999,16,0.252,-0.55,87671.05,87695.91,2025-12-23 14:37:40
72,2025-12-23 16:09:17,2025-12-23,16,buy,0.18,9.0,87684.23,87233.99,87832.1,87833.44,TP,450.2399999999907,0.3314010305614994,7.316666666666666,0,-999,14,0.277,-0.851,87638.94,87666.23,2025-12-23 16:16:36
74,2025-12-25 13:18:41,2025-12-25,13,buy,0.02,0.2,87409.47,87304.18,87476.01,87481.5,TP,105.29000000000815,0.6841105518092246,23.783333333333335,0,-999,15,0.349,-1.115,87375.99,87391.47,2025-12-25 13:42:28
