ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,touch_count,entry_count,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
9,,,,,,,,,,,,,57619.44,SL,sl,,,,,,,,,,,,,2024-07-07 09:12:15,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,57862.44,SL,sl,,,,,,,,,,,,,2024-07-13 00:05:41,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,57153.03,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-09-10 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,107237.62,MARKET_CLOSE,market_close,,,,,,,,,,,,,2025-07-01 04:25:00,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,108293.74,SL,sl,,,,,,,,,,,,,2025-07-07 23:32:35,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,107459.66,SL,sl,,,,,,,,,,,,,2025-11-03 10:03:36,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,91366.47,MARKET_CLOSE,market_close,,,,,,,,,,,,,2025-11-19 12:22:32,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,92682.31,TP,tp,,,,,,,,,,,,,2026-01-06 16:34:20,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,92704.82,MARKET_CLOSE,market_close,,,,,,,,,,,,,2026-01-07 07:35:41,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,73428.3,SL,sl,,,,,,,,,,,,,2026-05-29 05:31:07,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-13 15:11:33,2024-06-13,15,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.5,ob,0.02,,67440.29,67938.1,65449.07,66794.96,MARKET_CLOSE,market_close,497.8100000000122,1.2963379602659073,98.45,0,,16,0.261,-0.414,67516.18,67474.68,,,2024-06-13 16:50:00,,,,,,,,,,,,,,,,,,,,,,,,,12.906599999999743
4,2024-07-07 08:05:28,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.5,ob,0.04,,57491.83,57743.51,56034.12,57744.55,SL,sl,251.6800000000003,-1.004132231404962,58.017,0,,28,0.26,-0.759,57542.1,57523.43,,,2024-07-07 09:03:29,,,,,,,,,,,,,,,,,,,,,,,,,-10.108800000000047
5,2024-07-07 08:21:11,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.3,ob,0.02,,57515.97,57729.5,56034.12,57730.07,SL,sl,213.52999999999884,-1.002669414133844,33.483,0,,41,0.266,-1.087,57566.14,57547.02,,,2024-07-07 08:54:40,,,,,,,,,,,,,,,,,,,,,,,,,-4.281999999999971
6,2024-07-07 08:30:14,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.5,ob,0.05,,57502.3,57713.15,56034.12,57556.73,MARKET_CLOSE,market_close,210.84999999999854,-0.2581456011382531,14.833,0,,14,0.265,-0.9,57552.57,57533.56,,,2024-07-07 08:45:04,,,,,,,,,,,,,,,,,,,,,,,,,-2.721500000000015
7,2024-07-07 08:41:15,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.02,,57483.59,57705.96,56034.12,57707.64,SL,sl,222.37000000000262,-1.0075549759410005,12.367,0,,75,0.256,-0.676,57535.89,57517.49,,,2024-07-07 08:53:37,,,,,,,,,,,,,,,,,,,,,,,,,-4.4810000000000585
14,2024-07-12 22:26:00,2024-07-12,22,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.1,ob,0.01,,57781.55,57946.66,56540.47,57946.91,SL,sl,165.11000000000058,-1.0015141420870934,80.6,0,,60,0.277,-0.987,57835.11,57809.78,,,2024-07-12 23:46:36,,,,,,,,,,,,,,,,,,,,,,,,,-1.653600000000006
15,2024-07-12 22:50:33,2024-07-12,22,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.1,ob,0.01,,57777.36,57924.47,56540.47,57818.8,MARKET_CLOSE,market_close,147.11000000000058,-0.2816939704982813,14.45,0,,33,0.252,-0.948,57829.32,57806.2,,,2024-07-12 23:05:00,,,,,,,,,,,,,,,,,,,,,,,,,-0.4144000000000233
20,2024-07-15 20:00:19,2024-07-15,20,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x10.3,ob,0.39,,63442.16,63092.89,64839.24,64490.38,MARKET_CLOSE,market_close,349.2700000000041,3.0011738769432865,160.283,0,,19,0.251,-1.049,63396.64,63418.29,,,2024-07-15 22:40:36,,,,,,,,,,,,,,,,,,,,,,,,,408.80579999999765
21,2024-07-15 22:40:36,2024-07-15,22,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x10.3,ob,0.6,,64512.79,64233.37,,64484.26,MARKET_CLOSE,market_close,279.41999999999825,-0.10210435902941455,3.917,0,,,,,,,,,2024-07-15 22:44:31,,,,,,,,,,,,,,,,,,,,,,,,True,-17.117999999999302
22,2024-07-15 22:40:36,2024-07-15,22,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x10.3,ob,0.6,,64514.71,64235.29,,64485.54,MARKET_CLOSE,market_close,279.41999999999825,-0.10439481783694236,3.1,0,,,,,,,,,2024-07-15 22:43:42,,,,,,,,,,,,,,,,,,,,,,,,True,-17.50199999999895
26,2024-08-06 14:03:03,2024-08-06,14,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.01,,55468.31,56065.64,,56065.72,SL,sl,597.3300000000017,-1.000133929318805,2.617,0,,21,0.255,-0.457,55517.92,55488.69,,,2024-08-06 14:05:40,,,,,,,,,,,,,,,,,,,,,,,,,-5.9741000000000355
28,2024-08-09 14:30:21,2024-08-09,14,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.9,ob,0.08,,60355.38,60880.01,55109.12,60355.42,SL,sl,524.6300000000047,-7.624421020695111e-05,22.3,0,,21,0.254,-1.048,60425.73,60380.58,,,2024-08-09 14:52:39,,,,,,,,,,,,,,,,,,,,,,,,,-0.0032000000000698492
30,2024-08-12 16:03:01,2024-08-12,16,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.02,,60345.24,60959.81,,59033.51,MARKET_CLOSE,market_close,614.5699999999997,2.1343866443204136,188.633,0,,33,0.255,-1.037,60423.6,60372.56,,,2024-08-12 19:11:39,,,,,,,,,,,,,,,,,,,,,,,,,26.23459999999992
31,2024-08-12 16:20:17,2024-08-12,16,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.03,,59777.57,60269.22,,59341.11,MARKET_CLOSE,market_close,491.65000000000146,0.8877453472999041,99.717,0,,,,,,,,,2024-08-12 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,True,13.093799999999973
33,2024-08-12 18:50:20,2024-08-12,18,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.2,ob,0.03,,58661.69,59153.34,,59154.52,SL,sl,491.6499999999942,-1.0024000813586909,25.3,0,,,,,,,,,2024-08-12 19:15:38,,,,,,,,,,,,,,,,,,,,,,,,True,-14.784899999999833
36,2024-08-22 12:16:57,2024-08-22,12,BTCUSDm,buy,WT V11-BTC1-LOOP159 B x2.7,ob,0.39,,61156.84,60961.8,61841.63,61135.4,MARKET_CLOSE,market_close,195.0399999999936,-0.10992616899095445,15.383,0,,28,0.255,-0.694,61117.66,61132.03,,,2024-08-22 12:32:20,,,,,,,,,,,,,,,,,,,,,,,,,-8.36159999999807
38,2024-09-10 10:23:14,2024-09-10,10,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.0,ob,0.01,,57132.08,57313.11,,57228.22,MARKET_CLOSE,market_close,181.02999999999884,-0.5310721979782359,11.767,0,,35,0.254,-0.668,57169.7,57154.05,,,2024-09-10 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,-0.9613999999999941
39,2024-09-10 10:30:42,2024-09-10,10,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.0,ob,0.01,,57165.35,57317.1,,57180.96,MARKET_CLOSE,market_close,151.75,-0.10286655683690664,75.567,0,,42,0.253,-1.21,57203.08,57187.47,,,2024-09-10 11:46:16,,,,,,,,,,,,,,,,,,,,,,,,,-0.15610000000000582
42,2024-09-10 10:40:19,2024-09-10,10,BTCUSDm,sell,WT V11-BTC1-LOOP159 S x0.1,ob,0.02,,57172.76,57318.09,,57187.61,MARKET_CLOSE,market_close,145.32999999999447,-0.10218124268904638,66.117,0,,19,0.253,-1.328,57210.33,57194.73,,,2024-09-10 11:46:26,,,,,,,,,,,,,,,,,,,,,,,,,-0.2969999999999709
