month,net,balance,trades
2024-06,12.91,212.91,1
2024-07,357.94,570.85,6
2024-08,10.2,581.05,6
2024-09,28.87,609.92,4
2024-10,83.62,693.55,1
2024-11,-18.06,675.48,3
2024-12,30.09,705.58,3
2025-01,538.94,1244.52,13
2025-02,422.2,1666.72,1
2025-03,86.12,1752.84,3
2025-04,436.65,2189.49,2
2025-05,70.37,2259.85,6
2025-06,535.57,2795.42,3
2025-07,403.67,3199.09,9
2025-08,1305.49,4504.57,7
2025-09,106.53,4611.1,4
2025-10,174.62,4785.73,4
2025-11,743.36,5529.09,5
2025-12,1614.69,7143.78,5
2026-01,427.55,7571.33,11
2026-02,123.25,7694.58,2
2026-03,406.73,8101.31,1
2026-04,132.32,8233.63,2
2026-05,61.33,8294.95,3
