month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,325.48,557.74,7
2024-08,30.59,588.34,5
2024-09,82.63,670.97,6
2024-10,141.79,812.76,1
2024-11,-53.86,758.9,3
2024-12,193.64,952.53,1
2025-01,-118.25,834.28,5
2025-02,267.74,1102.02,1
2025-03,634.29,1736.31,7
2025-04,436.65,2172.95,2
2025-05,117.34,2290.29,7
2025-06,998.45,3288.74,3
2025-07,106.33,3395.07,8
2025-08,1789.02,5184.09,7
2025-09,98.92,5283.01,4
2025-10,-13.15,5269.86,6
2025-11,988.96,6258.82,3
2025-12,1218.05,7476.88,5
2026-01,241.67,7718.55,12
2026-02,113.82,7832.37,11
2026-03,223.7,8056.07,1
2026-04,68.29,8124.36,2
2026-05,6.96,8131.32,4
