ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,touch_count,entry_count,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
30,,,,,,,,,,,,,57153.03,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-09-10 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,107237.62,MARKET_CLOSE,market_close,,,,,,,,,,,,,2025-07-01 04:25:00,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,107774.06,MARKET_CLOSE,market_close,,,,,,,,,,,,,2025-07-08 02:55:00,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,92682.31,TP,tp,,,,,,,,,,,,,2026-01-06 16:34:20,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-13 15:11:33,2024-06-13,15,BTCUSDm,sell,WT V11-BTC1-TREND96 S x1.4,ob,0.05,,67440.29,67938.1,65697.97,66794.96,MARKET_CLOSE,market_close,497.8100000000122,1.2963379602659073,98.45,0,,16,0.261,-0.414,67516.18,67474.68,,,2024-06-13 16:50:00,,,,,,,,,,,,,,,,,,,,,,,,,32.26649999999936
4,2024-07-07 08:05:28,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-TREND96 S x1.3,ob,0.12,,57491.83,57743.51,56034.12,57744.55,SL,sl,251.6800000000003,-1.004132231404962,58.017,0,,28,0.26,-0.759,57542.1,57523.43,,,2024-07-07 09:03:29,,,,,,,,,,,,,,,,,,,,,,,,,-30.326400000000138
5,2024-07-07 08:41:15,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.6,ob,0.05,,57483.59,57705.96,56034.12,57707.64,SL,sl,222.37000000000262,-1.0075549759410005,12.367,0,,75,0.256,-0.676,57535.89,57517.49,,,2024-07-07 08:53:37,,,,,,,,,,,,,,,,,,,,,,,,,-11.202500000000146
8,2024-07-12 22:26:00,2024-07-12,22,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.3,ob,0.03,,57781.55,57946.66,56540.47,57946.91,SL,sl,165.11000000000058,-1.0015141420870934,80.6,0,,60,0.277,-0.987,57835.11,57809.78,,,2024-07-12 23:46:36,,,,,,,,,,,,,,,,,,,,,,,,,-4.960800000000018
10,2024-07-15 20:00:19,2024-07-15,20,BTCUSDm,buy,WT V11-BTC1-TREND96 B x25.9,ob,0.39,,63442.16,63092.89,64664.6,64490.38,MARKET_CLOSE,market_close,349.2700000000041,3.0011738769432865,160.283,0,,19,0.251,-1.049,63396.64,63418.29,,,2024-07-15 22:40:36,,,,,,,,,,,,,,,,,,,,,,,,,408.80579999999765
11,2024-07-15 22:08:37,2024-07-15,22,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.2,ob,0.01,,63773.66,63992.24,,63995.52,SL,sl,218.57999999999447,-1.0150059474791788,2.7,0,,118,0.252,-0.764,63849.74,63797.44,,,2024-07-15 22:11:19,,,,,,,,,,,,,,,,,,,,,,,,,-2.2185999999999333
13,2024-07-15 22:40:36,2024-07-15,22,BTCUSDm,buy,WT V11-BTC1-TREND96 B x25.9,ob,0.6,,64512.79,64233.37,,64484.26,MARKET_CLOSE,market_close,279.41999999999825,-0.10210435902941455,3.917,0,,,,,,,,,2024-07-15 22:44:31,,,,,,,,,,,,,,,,,,,,,,,,True,-17.117999999999302
14,2024-07-15 22:40:36,2024-07-15,22,BTCUSDm,buy,WT V11-BTC1-TREND96 B x25.9,ob,0.6,,64514.71,64235.29,,64485.54,MARKET_CLOSE,market_close,279.41999999999825,-0.10439481783694236,3.1,0,,,,,,,,,2024-07-15 22:43:42,,,,,,,,,,,,,,,,,,,,,,,,True,-17.50199999999895
18,2024-08-06 14:03:03,2024-08-06,14,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.4,ob,0.03,,55468.31,56065.64,,56065.72,SL,sl,597.3300000000017,-1.000133929318805,2.617,0,,21,0.255,-0.457,55517.92,55488.69,,,2024-08-06 14:05:40,,,,,,,,,,,,,,,,,,,,,,,,,-17.922300000000103
20,2024-08-09 14:30:21,2024-08-09,14,BTCUSDm,sell,WT V11-BTC1-TREND96 S x2.2,ob,0.21,,60355.38,60880.01,55109.12,60355.42,SL,sl,524.6300000000047,-7.624421020695111e-05,22.3,0,,21,0.254,-1.048,60425.73,60380.58,,,2024-08-09 14:52:39,,,,,,,,,,,,,,,,,,,,,,,,,-0.008400000000183355
22,2024-08-12 16:03:01,2024-08-12,16,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.6,ob,0.04,,60345.24,60959.81,,59033.51,MARKET_CLOSE,market_close,614.5699999999997,2.1343866443204136,188.633,0,,33,0.255,-1.037,60423.6,60372.56,,,2024-08-12 19:11:39,,,,,,,,,,,,,,,,,,,,,,,,,52.46919999999984
23,2024-08-12 16:20:17,2024-08-12,16,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.6,ob,0.07,,59777.57,60269.22,,59341.11,MARKET_CLOSE,market_close,491.65000000000146,0.8877453472999041,99.717,0,,,,,,,,,2024-08-12 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,True,30.552199999999942
25,2024-08-12 18:50:20,2024-08-12,18,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.6,ob,0.07,,58661.69,59153.34,,59154.52,SL,sl,491.6499999999942,-1.0024000813586909,25.3,0,,,,,,,,,2024-08-12 19:15:38,,,,,,,,,,,,,,,,,,,,,,,,True,-34.49809999999962
28,2024-09-10 10:23:14,2024-09-10,10,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.1,ob,0.02,,57132.08,57313.11,,57228.22,MARKET_CLOSE,market_close,181.02999999999884,-0.5310721979782359,11.767,0,,35,0.254,-0.668,57169.7,57154.05,,,2024-09-10 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,-1.9227999999999883
32,2024-09-10 11:37:56,2024-09-10,11,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.0,ob,0.01,,57086.91,56888.3,57312.39,57312.76,TP,tp,198.61000000000058,1.1371532148431494,25.083,0,,15,0.252,-0.45,57049.21,57065.09,,,2024-09-10 12:03:01,,,,,,,,,,,,,,,,,,,,,,,,,2.2584999999999855
34,2024-09-18 01:28:34,2024-09-18,1,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.5,ob,0.08,,60237.02,60548.29,57495.5,60550.47,SL,sl,311.2700000000041,-1.0070035660359182,95.867,0,,57,0.26,-0.555,60305.65,60257.57,,,2024-09-18 03:04:26,,,,,,,,,,,,,,,,,,,,,,,,,-25.07600000000035
35,2024-09-18 01:49:39,2024-09-18,1,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.2,ob,0.04,,60151.82,59937.99,,60534.55,MARKET_CLOSE,market_close,213.83000000000175,1.789879811064865,75.95,0,,132,0.258,-1.225,60103.61,60131.4,,,2024-09-18 03:05:36,,,,,,,,,,,,,,,,,,,,,,,,,15.309200000000128
38,2024-09-25 00:55:17,2024-09-25,0,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.5,ob,0.08,,64054.38,63862.54,64761.63,64762.55,TP,tp,191.8399999999965,3.691461634695676,44.383,0,,17,0.272,-1.03,64014.35,64028.44,,,2024-09-25 01:39:40,,,,,,,,,,,,,,,,,,,,,,,,,56.653600000000445
40,2024-10-05 01:15:30,2024-10-05,1,BTCUSDm,sell,WT V11-BTC1-TREND96 S x1.2,ob,0.39,,62147.85,62268.87,60937.61,61784.28,MARKET_CLOSE,market_close,121.02000000000407,3.0042141794743635,105.95,0,,30,0.261,-0.977,62187.11,62171.49,,,2024-10-05 03:01:27,,,,,,,,,,,,,,,,,,,,,,,,,141.7922999999999
42,2024-11-04 11:31:20,2024-11-04,11,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.1,ob,0.05,,68774.44,68946.87,,68793.29,MARKET_CLOSE,market_close,172.42999999999302,-0.10931972394590288,36.167,0,,53,0.262,-1.599,68812.22,68796.89,,,2024-11-04 12:07:30,,,,,,,,,,,,,,,,,,,,,,,,,-0.9424999999995635
44,2024-11-09 01:00:26,2024-11-09,1,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.6,ob,0.08,,76423.36,76303.32,76632.48,76410.13,MARKET_CLOSE,market_close,120.0399999999936,-0.11021326224588997,15.217,0,,26,0.269,-1.676,76388.08,76401.39,,,2024-11-09 01:15:39,,,,,,,,,,,,,,,,,,,,,,,,,-1.058399999999674
46,2024-11-17 04:05:29,2024-11-17,4,BTCUSDm,sell,WT V11-BTC1-TREND96 S x0.6,ob,0.08,,90194.77,90460.07,89266.23,90460.85,SL,sl,265.3000000000029,-1.0029400678477152,6.2,0,,29,0.253,-0.918,90264.27,90220.26,,,2024-11-17 04:11:41,,,,,,,,,,,,,,,,,,,,,,,,,-21.28640000000014
48,2024-12-02 00:51:19,2024-12-02,0,BTCUSDm,buy,WT V11-BTC1-TREND96 B x2.2,ob,0.39,,97407.41,97095.34,97903.65,97903.91,TP,tp,312.070000000007,1.590989201140734,30.2,0,,38,0.256,-0.636,97364.21,97381.65,,,2024-12-02 01:21:31,,,,,,,,,,,,,,,,,,,,,,,,,193.63500000000002
50,2025-01-02 14:45:45,2025-01-02,14,BTCUSDm,sell,WT V11-BTC1-TREND96 S x1.1,ob,0.29,,96957.55,97310.27,,97310.28,SL,sl,352.72000000000116,-1.0000283511000079,8.867,0,,45,0.252,-3.446,97004.77,96986.35,,,2025-01-02 14:54:37,,,,,,,,,,,,,,,,,,,,,,,,,-102.29169999999881
52,2025-01-03 14:48:14,2025-01-03,14,BTCUSDm,buy,WT V11-BTC1-TREND96 B x0.2,ob,0.02,,96923.13,96475.1,,97056.53,SL,sl,448.02999999999884,0.2977479186661485,23.983,0,,34,0.254,-0.501,96836.47,96894.33,,,2025-01-03 15:12:13,,,,,,,,,,,,,,,,,,,,,,,,,2.667999999999884
