ticket,time,date,hour,symbol,dir,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
6,,,,,,,,,,,89537.61,SL,sl,,,,,,,,,,,2026-01-22 17:59:46,,,,,,,,,True,False,,,0.81,0.81,0.0,,,,False,0,False,False,False,False,
7,,,,,,,,,,,89651.06,SL,sl,,,,,,,,,,,2026-01-22 18:19:44,,,,,,,,,True,False,,,0.38,0.38,0.0,,,,False,0,False,False,False,False,
10,,,,,,,,,,,89040.23,SL,sl,,,,,,,,,,,2026-01-22 22:02:26,,,,,,,,,True,False,,,0.51,0.51,0.0,,,,False,0,False,False,False,False,
12,,,,,,,,,,,86492.97,SL,sl,,,,,,,,,,,2026-01-25 23:46:24,,,,,,,,,True,False,,,1.23,1.23,0.0,,,be,True,0,False,False,False,False,
14,,,,,,,,,,,86969.54,SL,sl,,,,,,,,,,,2026-01-26 00:09:32,,,,,,,,,True,False,,,0.01,0.01,0.0,,,,False,0,False,False,False,False,
15,,,,,,,,,,,87050.9,SL,sl,,,,,,,,,,,2026-01-26 00:16:09,,,,,,,,,True,False,,,0.08,0.08,0.0,,,,False,0,False,False,False,False,
26,,,,,,,,,,,86944.02,SL,sl,,,,,,,,,,,2026-01-26 17:32:39,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
28,,,,,,,,,,,88356.18,SL,sl,,,,,,,,,,,2026-01-26 23:29:36,,,,,,,,,True,False,,,0.06,0.06,0.0,,,,False,0,False,False,False,False,
31,,,,,,,,,,,87670.97,SL,sl,,,,,,,,,,,2026-01-27 14:38:55,,,,,,,,,True,False,,,0.12,0.12,0.0,,,,False,0,False,False,False,False,
38,,,,,,,,,,,89038.96,MARKET_CLOSE,market_close,,,,,,,,,,,2026-01-28 20:55:00,,,,,,,,,True,False,,,2.34,2.34,0.0,,,be,True,0,False,False,False,False,
40,,,,,,,,,,,87868.68,SL,sl,,,,,,,,,,,2026-01-29 12:43:01,,,,,,,,,True,False,,,1.28,1.28,0.0,,,be,True,0,False,False,False,False,
42,,,,,,,,,,,85080.12,MARKET_CLOSE,market_close,,,,,,,,,,,2026-01-29 16:56:52,,,,,,,,,True,False,,,22.59,22.59,22.59,,,be,True,0,False,False,False,False,
48,,,,,,,,,,,82747.69,SL,sl,,,,,,,,,,,2026-01-30 13:35:05,,,,,,,,,True,False,,,1.69,1.69,0.0,,,be,True,0,False,False,False,False,
56,,,,,,,,,,,82804.66,SL,sl,,,,,,,,,,,2026-01-31 12:21:31,,,,,,,,,True,False,,,1.11,1.11,0.0,,,be,True,0,False,False,False,False,
57,,,,,,,,,,,82561.84,SL,sl,,,,,,,,,,,2026-01-31 12:52:44,,,,,,,,,True,False,,,0.81,0.81,0.0,,,,False,0,False,False,False,False,
60,,,,,,,,,,,82497.68,SL,sl,,,,,,,,,,,2026-01-31 13:32:48,,,,,,,,,True,False,,,0.28,0.28,0.0,,,,False,0,False,False,False,False,
62,,,,,,,,,,,78433.3,SL,sl,,,,,,,,,,,2026-01-31 23:19:58,,,,,,,,,True,False,,,0.71,0.71,0.0,,,,False,0,False,False,False,False,
64,,,,,,,,,,,75708.31,SL,sl,,,,,,,,,,,2026-02-01 23:09:33,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
66,,,,,,,,,,,77774.78,SL,sl,,,,,,,,,,,2026-02-02 01:03:10,,,,,,,,,True,False,,,1.14,1.14,0.0,,,be,True,0,False,False,False,False,
68,,,,,,,,,,,78816.0,SL,sl,,,,,,,,,,,2026-02-02 18:34:31,,,,,,,,,True,False,,,1.37,1.37,0.0,,,be,True,0,False,False,False,False,
70,,,,,,,,,,,78118.05,SL,sl,,,,,,,,,,,2026-02-02 20:40:46,,,,,,,,,True,False,,,0.24,0.24,0.0,,,,False,0,False,False,False,False,
71,,,,,,,,,,,77962.25,SL,sl,,,,,,,,,,,2026-02-02 20:49:24,,,,,,,,,True,False,,,0.35,0.35,0.0,,,,False,0,False,False,False,False,
76,,,,,,,,,,,78187.28,SL,sl,,,,,,,,,,,2026-02-03 14:35:50,,,,,,,,,True,False,,,1.6,1.6,0.0,,,be,True,0,False,False,False,False,
77,,,,,,,,,,,78273.16,SL,sl,,,,,,,,,,,2026-02-03 13:29:13,,,,,,,,,True,False,,,1.01,1.01,0.0,,,be,True,0,False,False,False,False,
86,,,,,,,,,,,72454.73,MARKET_CLOSE,market_close,,,,,,,,,,,2026-02-04 21:57:42,,,,,,,,,True,False,,,4.04,4.04,4.04,,,be,True,0,False,False,False,False,
88,,,,,,,,,,,61095.43,MARKET_CLOSE,market_close,,,,,,,,,,,2026-02-06 00:17:13,,,,,,,,,True,False,,,4.94,4.94,4.94,,,be,True,0,False,False,False,False,
89,,,,,,,,,,,61142.62,MARKET_CLOSE,market_close,,,,,,,,,,,2026-02-06 00:17:14,,,,,,,,,True,False,,,3.77,3.77,3.77,,,be,True,0,False,False,False,False,
90,,,,,,,,,,,61839.19,SL,sl,,,,,,,,,,,2026-02-06 00:03:20,,,,,,,,,True,False,,,0.31,0.31,0.0,,,,False,0,False,False,False,False,
94,,,,,,,,,,,65586.88,SL,sl,,,,,,,,,,,2026-02-06 09:28:59,,,,,,,,,True,False,,,0.16,0.16,0.0,,,,False,0,False,False,False,False,
