ticket,time,date,hour,symbol,dir,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
2,,,,,,,,,,,67462.36,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-01 00:15:38,,,,,,,,,True,False,,,0.57,0.57,0.0,,,,False,0,False,False,False,False,
4,,,,,,,,,,,70097.79,SL,sl,,,,,,,,,,,2024-06-04 14:18:03,,,,,,,,,True,False,,,0.32,0.32,0.0,,,,False,0,False,False,False,False,
18,,,,,,,,,,,67019.92,SL,sl,,,,,,,,,,,2024-06-14 12:33:39,,,,,,,,,True,False,,,1.36,1.36,0.0,,,be,True,0,False,False,False,False,
20,,,,,,,,,,,65544.23,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-18 03:40:41,,,,,,,,,True,False,,,0.69,0.69,0.0,,,,False,0,False,False,False,False,
22,,,,,,,,,,,64343.26,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-18 19:50:42,,,,,,,,,True,False,,,3.21,3.21,3.21,,,be,True,0,False,False,False,False,
24,,,,,,,,,,,63685.78,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-21 12:45:00,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
26,,,,,,,,,,,62785.62,MARKET_CLOSE,market_close,,,,,,,,,,,2024-07-01 14:23:11,,,,,,,,,True,False,,,0.69,0.69,0.0,,,,False,0,False,False,False,False,
28,,,,,,,,,,,57775.26,SL,sl,,,,,,,,,,,2024-07-04 15:45:37,,,,,,,,,True,False,,,0.12,0.12,0.0,,,,False,0,False,False,False,False,
42,,,,,,,,,,,57256.86,SL,sl,,,,,,,,,,,2024-07-07 17:55:42,,,,,,,,,True,False,,,0.2,0.2,0.0,,,,False,0,False,False,False,False,
44,,,,,,,,,,,56418.44,SL,sl,,,,,,,,,,,2024-07-09 00:28:30,,,,,,,,,True,False,,,0.1,0.1,0.0,,,,False,0,False,False,False,False,
