ticket,time,date,hour,symbol,dir,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
14,,,,,,,,,,,67019.92,SL,sl,,,,,,,,,,,2024-06-14 12:33:39,,,,,,,,,True,False,,,1.36,1.36,0.0,,,be,True,0,False,False,False,False,
16,,,,,,,,,,,65513.54,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-18 04:09:51,,,,,,,,,True,False,,,0.68,0.68,0.0,,,,False,0,False,False,False,False,
18,,,,,,,,,,,63685.78,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-21 12:45:00,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
20,,,,,,,,,,,61941.07,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-30 19:02:42,,,,,,,,,True,False,,,4.16,4.16,4.16,,,be,True,0,False,False,False,False,
32,,,,,,,,,,,57274.4,SL,sl,,,,,,,,,,,2024-07-07 17:05:25,,,,,,,,,True,False,,,0.27,0.27,0.0,,,,False,0,False,False,False,False,
34,,,,,,,,,,,56418.44,SL,sl,,,,,,,,,,,2024-07-09 00:28:30,,,,,,,,,True,False,,,0.1,0.1,0.0,,,,False,0,False,False,False,False,
36,,,,,,,,,,,57358.18,SL,sl,,,,,,,,,,,2024-07-09 12:56:35,,,,,,,,,True,False,,,1.37,1.37,0.0,,,be,True,0,False,False,False,False,
42,,,,,,,,,,,57649.43,MARKET_CLOSE,market_close,,,,,,,,,,,2024-07-10 17:17:37,,,,,,,,,True,False,,,0.64,0.64,0.0,,,,False,0,False,False,False,False,
44,,,,,,,,,,,57643.5,MARKET_CLOSE,market_close,,,,,,,,,,,2024-07-10 18:25:24,,,,,,,,,True,False,,,0.76,0.76,0.0,,,,False,0,False,False,False,False,
46,,,,,,,,,,,57424.44,SL,sl,,,,,,,,,,,2024-07-11 19:57:35,,,,,,,,,True,False,,,0.11,0.11,0.0,,,,False,0,False,False,False,False,
48,,,,,,,,,,,57548.92,SL,sl,,,,,,,,,,,2024-07-12 12:27:38,,,,,,,,,True,False,,,0.34,0.34,0.0,,,,False,0,False,False,False,False,
50,,,,,,,,,,,57537.04,MARKET_CLOSE,market_close,,,,,,,,,,,2024-07-12 13:10:00,,,,,,,,,True,False,,,0.02,0.02,0.0,,,,False,0,False,False,False,False,
66,,,,,,,,,,,64364.07,SL,sl,,,,,,,,,,,2024-07-19 12:45:28,,,,,,,,,True,False,,,0.22,0.22,0.0,,,,False,0,False,False,False,False,
68,,,,,,,,,,,66982.41,SL,sl,,,,,,,,,,,2024-07-20 17:13:28,,,,,,,,,True,False,,,0.25,0.25,0.0,,,,False,0,False,False,False,False,
70,,,,,,,,,,,67867.0,SL,sl,,,,,,,,,,,2024-07-22 01:31:41,,,,,,,,,True,False,,,1.87,1.87,0.0,,,be,True,0,False,False,False,False,
72,,,,,,,,,,,64291.86,MARKET_CLOSE,market_close,,,,,,,,,,,2024-07-25 06:21:13,,,,,,,,,True,False,,,0.77,0.77,0.0,,,,False,0,False,False,False,False,
76,,,,,,,,,,,68479.1,SL,sl,,,,,,,,,,,2024-07-27 17:58:37,,,,,,,,,True,False,,,0.32,0.32,0.0,,,,False,0,False,False,False,False,
77,,,,,,,,,,,68604.73,SL,sl,,,,,,,,,,,2024-07-27 18:51:41,,,,,,,,,True,False,,,2.41,2.41,0.0,,,be,True,0,False,False,False,False,
80,,,,,,,,,,,68303.72,SL,sl,,,,,,,,,,,2024-07-27 23:12:27,,,,,,,,,True,False,,,0.1,0.1,0.0,,,,False,0,False,False,False,False,
82,,,,,,,,,,,67853.25,SL,sl,,,,,,,,,,,2024-07-28 04:19:24,,,,,,,,,True,False,,,0.41,0.41,0.0,,,,False,0,False,False,False,False,
84,,,,,,,,,,,69820.51,SL,sl,,,,,,,,,,,2024-07-29 12:33:29,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
86,,,,,,,,,,,66383.22,SL,sl,,,,,,,,,,,2024-07-31 16:32:40,,,,,,,,,True,False,,,1.2,1.2,0.0,,,be,True,0,False,False,False,False,
92,,,,,,,,,,,55543.43,SL,sl,,,,,,,,,,,2024-08-07 17:19:30,,,,,,,,,True,False,,,0.47,0.47,0.0,,,,False,0,False,False,False,False,
93,,,,,,,,,,,55572.88,SL,sl,,,,,,,,,,,2024-08-07 17:19:27,,,,,,,,,True,False,,,0.49,0.49,0.0,,,,False,0,False,False,False,False,
96,,,,,,,,,,,55791.9,MARKET_CLOSE,market_close,,,,,,,,,,,2024-08-07 17:28:41,,,,,,,,,True,False,,,0.5,0.5,0.0,,,,False,0,False,False,False,False,
98,,,,,,,,,,,55513.69,SL,sl,,,,,,,,,,,2024-08-07 17:58:16,,,,,,,,,True,False,,,0.11,0.11,0.0,,,,False,0,False,False,False,False,
100,,,,,,,,,,,57139.84,SL,sl,,,,,,,,,,,2024-08-08 12:24:40,,,,,,,,,True,False,,,0.46,0.46,0.0,,,,False,0,False,False,False,False,
102,,,,,,,,,,,57822.29,SL,sl,,,,,,,,,,,2024-08-08 12:31:27,,,,,,,,,True,False,,,0.28,0.28,0.0,,,,False,0,False,False,False,False,
104,,,,,,,,,,,59454.89,SL,sl,,,,,,,,,,,2024-08-08 17:59:40,,,,,,,,,True,False,,,1.22,1.22,0.0,,,be,True,0,False,False,False,False,
112,,,,,,,,,,,58976.43,SL,sl,,,,,,,,,,,2024-08-12 18:36:40,,,,,,,,,True,False,,,0.4,0.4,0.0,,,,False,0,False,False,False,False,
114,,,,,,,,,,,59364.42,MARKET_CLOSE,market_close,,,,,,,,,,,2024-08-12 23:13:20,,,,,,,,,True,False,,,0.61,0.61,0.0,,,,False,0,False,False,False,False,
