ticket,time,date,hour,symbol,dir,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
14,,,,,,,,,,,66867.09,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-14 09:50:00,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
16,,,,,,,,,,,67019.92,SL,sl,,,,,,,,,,,2024-06-14 12:33:39,,,,,,,,,True,False,,,1.36,1.36,0.0,,,be,True,0,False,False,False,False,
18,,,,,,,,,,,65513.54,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-18 04:09:51,,,,,,,,,True,False,,,0.68,0.68,0.0,,,,False,0,False,False,False,False,
20,,,,,,,,,,,63685.78,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-21 12:45:00,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
22,,,,,,,,,,,61941.07,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-30 19:02:42,,,,,,,,,True,False,,,4.16,4.16,4.16,,,be,True,0,False,False,False,False,
30,,,,,,,,,,,57274.4,SL,sl,,,,,,,,,,,2024-07-07 17:05:25,,,,,,,,,True,False,,,0.27,0.27,0.0,,,,False,0,False,False,False,False,
32,,,,,,,,,,,56418.44,SL,sl,,,,,,,,,,,2024-07-09 00:28:30,,,,,,,,,True,False,,,0.1,0.1,0.0,,,,False,0,False,False,False,False,
34,,,,,,,,,,,56509.9,MARKET_CLOSE,market_close,,,,,,,,,,,2024-07-09 01:02:14,,,,,,,,,True,False,,,0.85,0.85,0.0,,,,False,0,False,False,False,False,
36,,,,,,,,,,,57223.09,SL,sl,,,,,,,,,,,2024-07-09 07:36:45,,,,,,,,,True,False,,,0.07,0.07,0.0,,,,False,0,False,False,False,False,
38,,,,,,,,,,,57358.18,SL,sl,,,,,,,,,,,2024-07-09 12:56:35,,,,,,,,,True,False,,,1.37,1.37,0.0,,,be,True,0,False,False,False,False,
