ticket,time,date,hour,symbol,dir,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
14,,,,,,,,,,,65544.23,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-18 03:40:41,,,,,,,,,True,False,,,0.69,0.69,0.0,,,,False,0,False,False,False,False,
16,,,,,,,,,,,64527.79,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-18 15:20:26,,,,,,,,,True,False,,,3.08,3.08,3.08,,,be,True,0,False,False,False,False,
18,,,,,,,,,,,63685.78,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-21 12:45:00,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
20,,,,,,,,,,,62022.98,MARKET_CLOSE,market_close,,,,,,,,,,,2024-06-25 21:40:00,,,,,,,,,True,False,,,0.7,0.7,0.0,,,,False,0,False,False,False,False,
22,,,,,,,,,,,62940.69,SL,sl,,,,,,,,,,,2024-07-01 13:29:42,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
26,,,,,,,,,,,55791.27,SL,sl,,,,,,,,,,,2024-07-05 13:39:29,,,,,,,,,True,False,,,0.2,0.2,0.0,,,,False,0,False,False,False,False,
38,,,,,,,,,,,56640.14,SL,sl,,,,,,,,,,,2024-07-08 20:07:39,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
40,,,,,,,,,,,57358.18,SL,sl,,,,,,,,,,,2024-07-09 12:56:35,,,,,,,,,True,False,,,1.37,1.37,0.0,,,be,True,0,False,False,False,False,
42,,,,,,,,,,,57290.12,MARKET_CLOSE,market_close,,,,,,,,,,,2024-07-09 13:40:28,,,,,,,,,True,False,,,0.65,0.65,0.0,,,,False,0,False,False,False,False,
48,,,,,,,,,,,57378.67,SL,sl,,,,,,,,,,,2024-07-11 21:25:16,,,,,,,,,True,False,,,0.32,0.32,0.0,,,,False,0,False,False,False,False,
50,,,,,,,,,,,57548.92,SL,sl,,,,,,,,,,,2024-07-12 12:27:38,,,,,,,,,True,False,,,0.34,0.34,0.0,,,,False,0,False,False,False,False,
52,,,,,,,,,,,57537.04,MARKET_CLOSE,market_close,,,,,,,,,,,2024-07-12 13:10:00,,,,,,,,,True,False,,,0.02,0.02,0.0,,,,False,0,False,False,False,False,
64,,,,,,,,,,,64596.51,SL,sl,,,,,,,,,,,2024-07-16 01:02:38,,,,,,,,,True,False,,,1.07,1.07,0.0,,,be,True,0,False,False,False,False,
66,,,,,,,,,,,63346.07,MARKET_CLOSE,market_close,,,,,,,,,,,2024-07-16 10:20:00,,,,,,,,,True,False,,,2.1,2.1,0.0,,,be,True,0,False,False,False,False,
68,,,,,,,,,,,63222.99,SL,sl,,,,,,,,,,,2024-07-16 14:02:42,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
70,,,,,,,,,,,64811.28,MARKET_CLOSE,market_close,,,,,,,,,,,2024-07-16 16:07:28,,,,,,,,,True,False,,,4.71,4.71,4.71,,,be,True,0,False,False,False,False,
73,,,,,,,,,,,65142.64,SL,sl,,,,,,,,,,,2024-07-16 19:29:38,,,,,,,,,True,False,,,0.22,0.22,0.0,,,,False,0,False,False,False,False,
