ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
2,2026-03-27 01:05:26,2026-03-27,1,XAUUSDm,sell,WT V11XAU S x1.6,ob,0.03,,4389.918,4391.835,4386.014,4391.853,SL,sl,1.917000000000371,-1.0093896713615158,0.083,0,,1,0.181,-0.761,4390.698,4390.226,2026-03-27 01:05:31,,,,,,,,,,,,,,,,,,,,,,,,,-0.058050000000012
4,2026-03-27 01:07:00,2026-03-27,1,XAUUSDm,sell,WT V11XAU S x1.6,ob,0.03,,4390.481,4392.199,4386.577,4390.728,MARKET_CLOSE,market_close,1.7179999999998472,-0.14377182770682204,0.133,0,,0,0.186,-0.978,4391.272,4390.789,2026-03-27 01:07:08,,,,,,,,,,,,,,,,,,,,,,,,,-0.007410000000008949
6,2026-03-27 01:08:03,2026-03-27,1,XAUUSDm,sell,WT V11XAU S x1.6,ob,0.01,,4389.805,4392.145,4385.901,4390.062,MARKET_CLOSE,market_close,2.3400000000001455,-0.10982905982888509,0.283,0,,3,0.212,-0.718,4390.666,4390.113,2026-03-27 01:08:20,,,,,,,,,,,,,,,,,,,,,,,,,-0.002569999999996071
8,2026-03-27 01:09:01,2026-03-27,1,XAUUSDm,sell,WT V11XAU S x1.6,ob,0.04,,4390.92,4392.161,4387.016,4392.344,SL,sl,1.2409999999999854,-1.1474617244157896,0.017,0,,1,0.193,-1.146,4391.731,4391.228,2026-03-27 01:09:02,,,,,,,,,,,,,,,,,,,,,,,,,-0.05695999999999913
10,2026-03-27 01:10:29,2026-03-27,1,XAUUSDm,sell,WT V11XAU S x1.0,ob,0.02,,4394.786,4396.292,4392.59,4396.389,SL,sl,1.5060000000003129,-1.064409030544311,0.033,0,,0,0.23,-0.857,4395.431,4395.094,2026-03-27 01:10:31,,,,,,,,,,,,,,,,,,,,,,,,,-0.03206000000000131
12,2026-03-27 01:15:03,2026-03-27,1,XAUUSDm,sell,WT V11XAU S x2.3,ob,0.03,,4395.439,4396.381,4393.243,4395.539,MARKET_CLOSE,market_close,0.9420000000000073,-0.10615711252595916,0.167,0,,2,0.266,-1.303,4396.136,4395.747,2026-03-27 01:15:13,,,,,,,,,,,,,,,,,,,,,,,,,-0.002999999999983629
14,2026-03-27 01:16:06,2026-03-27,1,XAUUSDm,sell,WT V11XAU S x1.0,ob,0.01,,4394.292,4396.318,4392.096,4396.364,SL,sl,2.02599999999984,-1.0227048371171623,0.983,0,,1,0.197,-0.5,4394.86,4394.572,2026-03-27 01:17:05,,,,,,,,,,,,,,,,,,,,,,,,,-0.02071999999999207
16,2026-03-27 01:20:58,2026-03-27,1,XAUUSDm,sell,WT V11XAU S x1.0,ob,0.01,,4394.325,4396.255,4392.129,4392.121,TP,tp,1.930000000000291,1.141968911916783,0.2,0,,1,0.195,-0.542,4394.919,4394.633,2026-03-27 01:21:10,,,,,,,,,,,,,,,,,,,,,,,,,0.022039999999997235
18,2026-03-27 01:21:45,2026-03-27,1,XAUUSDm,sell,WT V11XAU S x1.0,ob,0.01,,4394.25,4396.251,4392.054,4396.284,SL,sl,2.0010000000002037,-1.0164917541226606,0.583,0,,0,0.199,-0.49,4394.849,4394.558,2026-03-27 01:22:20,,,,,,,,,,,,,,,,,,,,,,,,,-0.020339999999996507
19,2026-03-27 01:22:04,2026-03-27,1,XAUUSDm,sell,WT V11XAU S x1.6,ob,0.02,,4395.431,4396.259,4393.235,4395.106,SL,sl,0.8280000000004293,0.3925120772942628,0.183,0,,4,0.213,-1.278,4396.023,4395.711,2026-03-27 01:22:15,,,,,,,,,,,,,,,,,,,,,,,,,0.006499999999996362
22,2026-03-27 01:23:01,2026-03-27,1,XAUUSDm,sell,WT V11XAU S x1.6,ob,0.03,,4395.435,4396.272,4393.239,4396.316,SL,sl,0.8369999999995343,-1.0525686977298607,0.15,0,,1,0.193,-1.3,4396.026,4395.743,2026-03-27 01:23:10,,,,,,,,,,,,,,,,,,,,,,,,,-0.0264299999999821
24,2026-03-27 09:56:04,2026-03-27,9,XAUUSDm,sell,WT V11XAU S x1.8,ob,0.03,,4428.122,4429.348,4425.016,4429.381,SL,sl,1.225999999999658,-1.0269168026104125,0.467,0,,4,0.183,-0.853,4428.809,4428.43,2026-03-27 09:56:32,,,,,,,,,,,,,,,,,,,,,,,,,-0.037770000000000435
