month,strategy,trades,win_rate,sum_r,pnl_proxy,tp,sl,market_close,buy,sell
2024-06,qs,49,51.0,2.57,0.15,9,29,11,29,20
2024-06,cand,49,51.0,2.57,0.15,9,29,11,29,20
2024-07,qs,260,49.6,1.22,-0.14,39,170,51,154,106
2024-07,cand,260,49.6,1.22,-0.14,39,170,51,154,106
2024-08,qs,289,55.0,37.8,2.28,68,173,48,127,162
2024-08,cand,289,55.0,37.8,2.28,68,173,48,127,162
2024-09,qs,208,53.8,11.62,1.89,39,138,31,122,86
2024-09,cand,208,53.8,11.62,1.89,39,138,31,122,86
2024-10,qs,374,60.2,75.63,12.5,94,212,68,209,165
2024-10,cand,374,60.2,75.63,12.5,94,212,68,209,165
2024-11,qs,9,11.1,-4.0,-0.6,1,5,3,9,0
2024-11,cand,9,11.1,-4.0,-0.6,1,5,3,9,0
2024-12,qs,29,37.9,-5.96,-0.54,2,19,8,28,1
2024-12,cand,29,37.9,-5.96,-0.54,2,19,8,28,1
2025-01,qs,6,16.7,-4.35,-0.53,0,5,1,2,4
2025-01,cand,6,16.7,-4.35,-0.53,0,5,1,2,4
2025-02,qs,12,41.7,-0.82,-0.51,2,6,4,12,0
2025-02,cand,12,41.7,-0.82,-0.51,2,6,4,12,0
2025-03,qs,10,40.0,-1.57,-0.52,2,5,3,7,3
2025-03,cand,10,40.0,-1.57,-0.52,2,5,3,7,3
2025-04,qs,17,17.6,-6.6,-0.5,1,10,6,0,17
2025-04,cand,17,17.6,-6.6,-0.5,1,10,6,0,17
2025-05,qs,665,67.7,248.24,583.67,194,372,99,386,279
2025-05,cand,665,67.7,248.24,583.67,194,372,99,386,279
2025-06,qs,621,60.9,133.45,508.6,150,364,107,345,276
2025-06,cand,621,60.9,133.45,508.6,150,364,107,345,276
2025-07,qs,647,58.0,96.47,295.88,140,417,90,292,355
2025-07,cand,647,58.0,96.47,295.88,140,417,90,292,355
2025-08,qs,522,53.1,61.54,165.65,123,303,96,257,265
2025-08,cand,522,53.1,61.54,165.65,123,303,96,257,265
2025-09,qs,626,60.5,152.59,551.96,172,366,88,314,312
2025-09,cand,626,60.5,152.59,551.96,172,366,88,314,312
2025-10,qs,659,67.7,286.15,1625.53,184,348,127,269,390
2025-10,cand,659,67.7,286.15,1625.53,184,348,127,269,390
2025-11,qs,616,64.1,248.11,1102.24,169,335,112,276,340
2025-11,cand,616,64.1,248.11,1102.24,169,335,112,276,340
2025-12,qs,812,60.0,201.0,759.91,198,474,140,405,407
2025-12,cand,812,60.0,201.0,759.91,198,474,140,405,407
2026-01,qs,277,47.7,-33.92,-168.36,32,200,45,105,172
2026-01,cand,277,47.7,-33.92,-168.36,32,200,45,105,172
2026-02,qs,660,44.1,8.87,963.36,85,471,44,380,280
2026-02,cand,660,44.1,8.87,963.36,85,471,44,380,280
2026-03,qs,144,43.1,-23.56,-205.36,15,108,0,75,69
2026-03,cand,144,43.1,-23.56,-205.36,15,108,0,75,69
2026-04,qs,52,38.5,-15.33,-163.41,3,42,0,19,33
2026-04,cand,52,38.5,-15.33,-163.41,3,42,0,19,33
2026-05,qs,93,39.8,-20.61,-156.17,11,70,0,58,35
2026-05,cand,93,39.8,-20.61,-156.17,11,70,0,58,35
