month,qs_trades,qs_wr,qs_pf,qs_balance,cand_trades,cand_wr,cand_pf,cand_balance,delta_balance
2024-06,49,55.1,1.19,215.12,49,55.1,1.19,215.12,0.00
2024-07,255,48.2,0.89,185.21,255,48.2,0.89,185.21,0.00
2024-08,291,56.7,1.49,420.11,291,56.7,1.49,420.11,0.00
2024-09,190,54.7,1.31,277.58,190,54.7,1.31,277.58,0.00
2024-10,352,56.2,1.54,617.84,352,56.2,1.54,617.84,0.00
2024-11,354,56.8,1.56,567.55,354,56.8,1.56,567.55,0.00
2024-12,178,59.6,1.82,305.87,178,59.6,1.82,305.87,0.00
2025-01,282,51.1,1.04,234.88,282,51.1,1.04,234.88,0.00
2025-02,342,57.9,1.51,441.91,342,57.9,1.51,441.91,0.00
2025-03,329,52.6,1.39,365.81,329,52.6,1.39,365.81,0.00
2025-04,916,62.2,2.03,41796.62,916,62.2,2.03,41796.62,0.00
2025-05,653,66.3,2.17,18256.72,653,66.3,2.17,18256.72,0.00
2025-06,592,62.0,1.79,1667.68,592,62.0,1.79,1667.68,0.00
2025-07,569,56.9,1.47,704.89,569,56.9,1.47,704.89,0.00
2025-08,462,53.5,1.38,454.39,462,53.5,1.38,454.39,0.00
2025-09,575,58.8,1.87,1751.67,575,58.8,1.87,1751.67,0.00
2025-10,629,65.5,4.02,32615.48,629,65.5,4.02,32615.48,0.00
2025-11,594,63.6,2.39,11599.54,594,63.6,2.39,11599.54,0.00
2025-12,739,59.7,2.01,2801.11,739,59.7,2.01,2801.11,0.00
2026-01,841,47.1,0.91,130.03,85,55.3,1.29,209.05,79.02
2026-02,564,44.7,0.81,51.72,40,70.0,1.63,229.72,178.00
2026-03,457,46.8,0.77,37.83,51,58.8,0.80,190.94,153.11
2026-04,312,44.9,0.50,46.45,39,59.0,0.87,193.87,147.42
2026-05,270,38.5,0.49,45.95,75,60.0,1.08,210.09,164.14
