time,open,high,low,close,tick_volume,spread,real_volume
2024.06.01 00:00,67473.70,67711.00,67333.38,67649.54,40652,3566,0
2024.06.01 04:00,67657.32,67772.01,67467.93,67564.66,29516,3387,0
2024.06.01 08:00,67570.72,67689.25,67478.90,67595.77,23490,3344,0
2024.06.01 12:00,67589.45,67834.02,67560.84,67611.05,27600,3320,0
2024.06.01 16:00,67611.39,67794.21,67495.05,67687.08,25627,3333,0
2024.06.01 20:00,67678.20,67806.02,67600.80,67693.80,28759,3347,0
2024.06.02 00:00,67701.39,67858.27,67573.12,67712.35,27713,3480,0
2024.06.02 04:00,67713.07,67805.97,67633.07,67653.07,25950,3320,0
2024.06.02 08:00,67654.05,68240.20,67304.03,68198.34,20154,3343,0
2024.06.02 12:00,68200.04,68434.48,67724.86,68083.36,17801,3942,0
2024.06.02 16:00,68084.19,68152.14,67228.19,67698.10,17556,3637,0
2024.06.02 20:00,67697.88,67937.89,67509.75,67729.62,16677,3636,0
2024.06.03 00:00,67733.47,68738.19,67532.92,68335.17,18513,3683,0
2024.06.03 04:00,68340.83,69201.75,68228.43,68872.87,21550,3206,0
2024.06.03 08:00,68877.70,69338.76,68826.41,69074.74,20261,2733,0
2024.06.03 12:00,69069.03,70260.84,68518.25,69570.51,28366,2729,0
2024.06.03 16:00,69575.39,69684.72,68752.90,69173.69,22805,3349,0
2024.06.03 20:00,69179.08,69505.44,68717.64,68789.71,19460,3282,0
2024.06.04 00:00,68783.65,69358.75,68629.87,69153.92,19984,3479,0
2024.06.04 04:00,69150.29,69264.03,68721.37,68980.05,19492,3480,0
2024.06.04 08:00,68985.82,69183.40,68522.39,68935.96,20253,3275,0
2024.06.04 12:00,68934.02,70540.61,68836.94,70439.56,29512,3112,0
2024.06.04 16:00,70442.40,71086.30,70057.34,70433.10,26516,2673,0
2024.06.04 20:00,70435.61,70738.91,70131.78,70524.08,18597,2857,0
2024.06.05 00:00,70520.69,71259.09,70415.74,70914.77,22056,2709,0
