ticket,time,date,hour,symbol,dir,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
14,,,,,,,,,,,86941.61,MARKET_CLOSE,market_close,,,,,,,,,,,2025-11-23 16:25:00,,,,,,,,,True,False,,,2.6,2.6,0.0,,,be,True,0,False,False,False,False,
16,,,,,,,,,,,86568.47,SL,sl,,,,,,,,,,,2025-11-23 17:17:25,,,,,,,,,True,False,,,1.07,1.07,0.0,,,be,True,0,False,False,False,False,
17,,,,,,,,,,,86554.21,SL,sl,,,,,,,,,,,2025-11-23 17:46:59,,,,,,,,,True,False,,,1.36,1.36,0.0,,,be,True,0,False,False,False,False,
23,,,,,,,,,,,87280.93,SL,sl,,,,,,,,,,,2025-11-23 23:17:19,,,,,,,,,True,False,,,2.95,2.95,0.0,,,be,True,0,False,False,False,False,
25,,,,,,,,,,,87049.81,SL,sl,,,,,,,,,,,2025-11-23 23:18:27,,,,,,,,,True,False,,,0.16,0.16,0.0,,,,False,0,False,False,False,False,
28,,,,,,,,,,,86473.48,SL,sl,,,,,,,,,,,2025-11-24 09:15:29,,,,,,,,,True,False,,,0.65,0.65,0.0,,,,False,0,False,False,False,False,
30,,,,,,,,,,,86316.99,SL,sl,,,,,,,,,,,2025-11-24 11:37:00,,,,,,,,,True,False,,,0.41,0.41,0.0,,,,False,0,False,False,False,False,
32,,,,,,,,,,,86314.33,SL,sl,,,,,,,,,,,2025-11-24 13:08:04,,,,,,,,,True,False,,,0.67,0.67,0.0,,,,False,0,False,False,False,False,
35,,,,,,,,,,,86816.92,MARKET_CLOSE,market_close,,,,,,,,,,,2025-11-24 16:06:39,,,,,,,,,True,False,,,3.47,3.47,3.47,,,be,True,0,False,False,False,False,
40,,,,,,,,,,,87467.01,SL,sl,,,,,,,,,,,2025-11-25 12:01:37,,,,,,,,,True,False,,,1.25,1.25,0.0,,,be,True,0,False,False,False,False,
42,,,,,,,,,,,87012.54,MARKET_CLOSE,market_close,,,,,,,,,,,2025-11-25 13:48:14,,,,,,,,,True,False,,,3.12,3.12,3.12,,,be,True,0,False,False,False,False,
43,,,,,,,,,,,87050.08,SL,sl,,,,,,,,,,,2025-11-25 13:44:03,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
46,,,,,,,,,,,87611.85,SL,sl,,,,,,,,,,,2025-11-25 17:32:40,,,,,,,,,True,False,,,0.5,0.5,0.0,,,,False,0,False,False,False,False,
50,,,,,,,,,,,87713.88,SL,sl,,,,,,,,,,,2025-11-26 03:31:03,,,,,,,,,True,False,,,1.06,1.06,0.0,,,be,True,0,False,False,False,False,
51,,,,,,,,,,,87424.77,SL,sl,,,,,,,,,,,2025-11-26 03:34:39,,,,,,,,,True,False,,,0.8,0.8,0.0,,,,False,0,False,False,False,False,
66,,,,,,,,,,,87289.65,SL,sl,,,,,,,,,,,2025-11-26 15:28:40,,,,,,,,,True,False,,,1.54,1.54,0.0,,,be,True,0,False,False,False,False,
67,,,,,,,,,,,87169.94,SL,sl,,,,,,,,,,,2025-11-26 15:08:34,,,,,,,,,True,False,,,0.05,0.05,0.0,,,,False,0,False,False,False,False,
72,,,,,,,,,,,91130.86,SL,sl,,,,,,,,,,,2025-11-27 05:38:34,,,,,,,,,True,False,,,1.42,1.42,0.0,,,be,True,0,False,False,False,False,
76,,,,,,,,,,,91290.34,MARKET_CLOSE,market_close,,,,,,,,,,,2025-11-27 06:50:00,,,,,,,,,True,False,,,1.79,1.79,0.0,,,be,True,0,False,False,False,False,
80,,,,,,,,,,,91146.85,SL,sl,,,,,,,,,,,2025-11-27 12:40:32,,,,,,,,,True,False,,,0.42,0.42,0.0,,,,False,0,False,False,False,False,
81,,,,,,,,,,,91337.15,MARKET_CLOSE,market_close,,,,,,,,,,,2025-11-27 12:32:01,,,,,,,,,True,False,,,1.0,1.0,0.0,,,be,True,0,False,False,False,False,
84,,,,,,,,,,,91025.92,SL,sl,,,,,,,,,,,2025-11-27 12:53:24,,,,,,,,,True,False,,,0.24,0.24,0.0,,,,False,0,False,False,False,False,
86,,,,,,,,,,,91392.18,SL,sl,,,,,,,,,,,2025-11-27 22:41:26,,,,,,,,,True,False,,,1.77,1.77,0.0,,,be,True,0,False,False,False,False,
88,,,,,,,,,,,91203.14,SL,sl,,,,,,,,,,,2025-11-28 00:03:18,,,,,,,,,True,False,,,0.84,0.84,0.0,,,,False,0,False,False,False,False,
92,,,,,,,,,,,91581.17,SL,sl,,,,,,,,,,,2025-11-28 05:31:03,,,,,,,,,True,False,,,0.31,0.31,0.0,,,,False,0,False,False,False,False,
94,,,,,,,,,,,91226.81,MARKET_CLOSE,market_close,,,,,,,,,,,2025-11-28 11:16:41,,,,,,,,,True,False,,,4.98,4.98,4.98,,,be,True,0,False,False,False,False,
96,,,,,,,,,,,91161.92,MARKET_CLOSE,market_close,,,,,,,,,,,2025-11-28 11:22:38,,,,,,,,,True,False,,,0.5,0.5,0.0,,,,False,0,False,False,False,False,
98,,,,,,,,,,,91613.76,SL,sl,,,,,,,,,,,2025-11-28 13:06:16,,,,,,,,,True,False,,,1.07,1.07,0.0,,,be,True,0,False,False,False,False,
100,,,,,,,,,,,91763.16,SL,sl,,,,,,,,,,,2025-11-28 13:36:25,,,,,,,,,True,False,,,0.29,0.29,0.0,,,,False,0,False,False,False,False,
102,,,,,,,,,,,90914.9,SL,sl,,,,,,,,,,,2025-11-28 23:56:21,,,,,,,,,True,False,,,1.96,1.96,0.0,,,be,True,0,False,False,False,False,
108,,,,,,,,,,,91293.76,SL,sl,,,,,,,,,,,2025-11-30 14:38:38,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
110,,,,,,,,,,,91754.88,MARKET_CLOSE,market_close,,,,,,,,,,,2025-11-30 17:00:33,,,,,,,,,True,False,,,3.14,3.14,3.14,,,be,True,0,False,False,False,False,
112,,,,,,,,,,,91528.25,MARKET_CLOSE,market_close,,,,,,,,,,,2025-11-30 17:10:59,,,,,,,,,True,False,,,0.5,0.5,0.0,,,,False,0,False,False,False,False,
114,,,,,,,,,,,86561.6,SL,sl,,,,,,,,,,,2025-12-01 07:46:29,,,,,,,,,True,False,,,0.2,0.2,0.0,,,,False,0,False,False,False,False,
116,,,,,,,,,,,84807.62,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-01 19:35:28,,,,,,,,,True,False,,,3.28,3.28,3.28,,,be,True,0,False,False,False,False,
117,,,,,,,,,,,85220.89,SL,sl,,,,,,,,,,,2025-12-01 20:01:16,,,,,,,,,True,False,,,2.08,2.08,0.0,,,be,True,0,False,False,False,False,
120,,,,,,,,,,,85616.53,SL,sl,,,,,,,,,,,2025-12-01 21:00:38,,,,,,,,,True,False,,,0.21,0.21,0.0,,,,False,0,False,False,False,False,
125,,,,,,,,,,,86799.23,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-02 03:47:35,,,,,,,,,True,False,,,3.25,3.25,3.25,,,be,True,0,False,False,False,False,
128,,,,,,,,,,,87180.39,SL,sl,,,,,,,,,,,2025-12-02 10:48:18,,,,,,,,,True,False,,,0.94,0.94,0.0,,,,False,0,False,False,False,False,
130,,,,,,,,,,,87123.26,SL,sl,,,,,,,,,,,2025-12-02 10:45:30,,,,,,,,,True,False,,,0.03,0.03,0.0,,,,False,0,False,False,False,False,
132,,,,,,,,,,,87274.19,SL,sl,,,,,,,,,,,2025-12-02 10:48:31,,,,,,,,,True,False,,,0.39,0.39,0.0,,,,False,0,False,False,False,False,
133,,,,,,,,,,,87065.41,SL,sl,,,,,,,,,,,2025-12-02 10:44:25,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
138,,,,,,,,,,,87632.55,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-02 13:53:37,,,,,,,,,True,False,,,3.44,3.44,3.44,,,be,True,0,False,False,False,False,
140,,,,,,,,,,,91602.77,SL,sl,,,,,,,,,,,2025-12-02 20:14:28,,,,,,,,,True,False,,,0.14,0.14,0.0,,,,False,0,False,False,False,False,
142,,,,,,,,,,,91577.57,SL,sl,,,,,,,,,,,2025-12-02 23:34:04,,,,,,,,,True,False,,,0.29,0.29,0.0,,,,False,0,False,False,False,False,
144,,,,,,,,,,,91378.82,SL,sl,,,,,,,,,,,2025-12-03 00:09:19,,,,,,,,,True,False,,,1.25,1.25,0.0,,,be,True,0,False,False,False,False,
146,,,,,,,,,,,92283.74,SL,sl,,,,,,,,,,,2025-12-03 01:49:37,,,,,,,,,True,False,,,0.54,0.54,0.0,,,,False,0,False,False,False,False,
150,,,,,,,,,,,92798.32,SL,sl,,,,,,,,,,,2025-12-03 09:31:05,,,,,,,,,True,False,,,1.12,1.12,0.0,,,be,True,0,False,False,False,False,
152,,,,,,,,,,,92270.26,SL,sl,,,,,,,,,,,2025-12-03 14:30:41,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
154,,,,,,,,,,,92733.39,SL,sl,,,,,,,,,,,2025-12-03 14:52:24,,,,,,,,,True,False,,,2.56,2.56,0.0,,,be,True,0,False,False,False,False,
155,,,,,,,,,,,93505.44,SL,sl,,,,,,,,,,,2025-12-03 14:42:40,,,,,,,,,True,False,,,0.91,0.91,0.0,,,,False,0,False,False,False,False,
156,,,,,,,,,,,93569.84,SL,sl,,,,,,,,,,,2025-12-03 14:42:42,,,,,,,,,True,False,,,0.71,0.71,0.0,,,,False,0,False,False,False,False,
160,,,,,,,,,,,93659.4,SL,sl,,,,,,,,,,,2025-12-03 21:56:38,,,,,,,,,True,False,,,0.13,0.13,0.0,,,,False,0,False,False,False,False,
162,,,,,,,,,,,93173.93,SL,sl,,,,,,,,,,,2025-12-04 00:12:18,,,,,,,,,True,False,,,0.44,0.44,0.0,,,,False,0,False,False,False,False,
164,,,,,,,,,,,93708.72,SL,sl,,,,,,,,,,,2025-12-04 02:14:25,,,,,,,,,True,False,,,0.72,0.72,0.0,,,,False,0,False,False,False,False,
165,,,,,,,,,,,93517.48,SL,sl,,,,,,,,,,,2025-12-04 02:10:30,,,,,,,,,True,False,,,0.73,0.73,0.0,,,,False,0,False,False,False,False,
166,,,,,,,,,,,93639.46,SL,sl,,,,,,,,,,,2025-12-04 02:12:29,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
170,,,,,,,,,,,93321.04,SL,sl,,,,,,,,,,,2025-12-04 04:43:32,,,,,,,,,True,False,,,0.33,0.33,0.0,,,,False,0,False,False,False,False,
172,,,,,,,,,,,92914.83,SL,sl,,,,,,,,,,,2025-12-04 05:50:04,,,,,,,,,True,False,,,0.6,0.6,0.0,,,,False,0,False,False,False,False,
173,,,,,,,,,,,92902.58,SL,sl,,,,,,,,,,,2025-12-04 05:50:11,,,,,,,,,True,False,,,0.58,0.58,0.0,,,,False,0,False,False,False,False,
176,,,,,,,,,,,93463.48,SL,sl,,,,,,,,,,,2025-12-04 08:02:15,,,,,,,,,True,False,,,0.07,0.07,0.0,,,,False,0,False,False,False,False,
178,,,,,,,,,,,93044.33,SL,sl,,,,,,,,,,,2025-12-04 11:26:27,,,,,,,,,True,False,,,0.68,0.68,0.0,,,,False,0,False,False,False,False,
187,,,,,,,,,,,92034.15,SL,sl,,,,,,,,,,,2025-12-04 18:42:29,,,,,,,,,True,False,,,1.91,1.91,0.0,,,be,True,0,False,False,False,False,
192,,,,,,,,,,,91439.36,SL,sl,,,,,,,,,,,2025-12-05 11:06:29,,,,,,,,,True,False,,,1.01,1.01,0.0,,,be,True,0,False,False,False,False,
194,,,,,,,,,,,91401.18,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-05 11:24:22,,,,,,,,,True,False,,,1.02,1.02,0.0,,,be,True,0,False,False,False,False,
196,,,,,,,,,,,91135.72,SL,sl,,,,,,,,,,,2025-12-05 13:14:32,,,,,,,,,True,False,,,1.42,1.42,0.0,,,be,True,0,False,False,False,False,
198,,,,,,,,,,,91216.87,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-05 15:07:35,,,,,,,,,True,False,,,1.01,1.01,0.0,,,be,True,0,False,False,False,False,
200,,,,,,,,,,,89422.04,SL,sl,,,,,,,,,,,2025-12-06 00:37:34,,,,,,,,,True,False,,,1.47,1.47,0.0,,,be,True,0,False,False,False,False,
201,,,,,,,,,,,89333.4,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-05 20:50:00,,,,,,,,,True,False,,,1.95,1.95,0.0,,,be,True,0,False,False,False,False,
203,,,,,,,,,,,89128.47,SL,sl,,,,,,,,,,,2025-12-05 23:03:30,,,,,,,,,True,False,,,1.48,1.48,0.0,,,be,True,0,False,False,False,False,
205,,,,,,,,,,,89269.57,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-05 23:46:23,,,,,,,,,True,False,,,0.9,0.9,0.0,,,,False,0,False,False,False,False,
207,,,,,,,,,,,89358.84,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-06 01:50:00,,,,,,,,,True,False,,,2.72,2.72,0.0,,,be,True,0,False,False,False,False,
210,,,,,,,,,,,89494.38,SL,sl,,,,,,,,,,,2025-12-06 10:47:31,,,,,,,,,True,False,,,1.46,1.46,0.0,,,be,True,0,False,False,False,False,
212,,,,,,,,,,,89664.25,SL,sl,,,,,,,,,,,2025-12-06 18:44:27,,,,,,,,,True,False,,,1.23,1.23,0.0,,,be,True,0,False,False,False,False,
214,,,,,,,,,,,89643.35,SL,sl,,,,,,,,,,,2025-12-06 19:07:19,,,,,,,,,True,False,,,1.31,1.31,0.0,,,be,True,0,False,False,False,False,
220,,,,,,,,,,,89197.01,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-07 12:05:00,,,,,,,,,True,False,,,1.46,1.46,0.0,,,be,True,0,False,False,False,False,
221,,,,,,,,,,,89318.78,SL,sl,,,,,,,,,,,2025-12-07 12:12:26,,,,,,,,,True,False,,,1.08,1.08,0.0,,,be,True,0,False,False,False,False,
224,,,,,,,,,,,89488.04,SL,sl,,,,,,,,,,,2025-12-07 12:46:12,,,,,,,,,True,False,,,0.54,0.54,0.0,,,,False,0,False,False,False,False,
226,,,,,,,,,,,88836.44,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-07 13:23:11,,,,,,,,,True,False,,,6.85,6.85,6.85,,,be,True,0,False,False,False,False,
227,,,,,,,,,,,88824.06,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-07 13:23:05,,,,,,,,,True,False,,,5.56,5.56,5.56,,,be,True,0,False,False,False,False,
230,,,,,,,,,,,91177.02,SL,sl,,,,,,,,,,,2025-12-08 02:31:40,,,,,,,,,True,False,,,0.1,0.1,0.0,,,,False,0,False,False,False,False,
234,,,,,,,,,,,90630.29,SL,sl,,,,,,,,,,,2025-12-08 23:20:39,,,,,,,,,True,False,,,0.68,0.68,0.0,,,,False,0,False,False,False,False,
235,,,,,,,,,,,90646.51,SL,sl,,,,,,,,,,,2025-12-08 23:20:38,,,,,,,,,True,False,,,0.92,0.92,0.0,,,,False,0,False,False,False,False,
238,,,,,,,,,,,90491.97,SL,sl,,,,,,,,,,,2025-12-08 23:26:40,,,,,,,,,True,False,,,0.05,0.05,0.0,,,,False,0,False,False,False,False,
240,,,,,,,,,,,90708.9,SL,sl,,,,,,,,,,,2025-12-09 00:24:35,,,,,,,,,True,False,,,1.2,1.2,0.0,,,be,True,0,False,False,False,False,
242,,,,,,,,,,,90245.2,SL,sl,,,,,,,,,,,2025-12-09 01:04:14,,,,,,,,,True,False,,,0.73,0.73,0.0,,,,False,0,False,False,False,False,
244,,,,,,,,,,,90152.98,SL,sl,,,,,,,,,,,2025-12-09 11:16:27,,,,,,,,,True,False,,,0.15,0.15,0.0,,,,False,0,False,False,False,False,
250,,,,,,,,,,,90163.4,SL,sl,,,,,,,,,,,2025-12-09 14:44:32,,,,,,,,,True,False,,,1.8,1.8,0.0,,,be,True,0,False,False,False,False,
252,,,,,,,,,,,90955.85,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-09 15:04:28,,,,,,,,,True,False,,,3.25,3.25,3.25,,,be,True,0,False,False,False,False,
256,,,,,,,,,,,93119.06,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-09 20:28:31,,,,,,,,,True,False,,,4.09,4.09,4.09,,,be,True,0,False,False,False,False,
258,,,,,,,,,,,92837.48,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-09 23:50:00,,,,,,,,,True,False,,,0.95,0.95,0.0,,,,False,0,False,False,False,False,
260,,,,,,,,,,,92821.86,SL,sl,,,,,,,,,,,2025-12-10 07:59:40,,,,,,,,,True,False,,,0.97,0.97,0.0,,,,False,0,False,False,False,False,
262,,,,,,,,,,,92068.31,SL,sl,,,,,,,,,,,2025-12-10 15:49:39,,,,,,,,,True,False,,,1.64,1.64,0.0,,,be,True,0,False,False,False,False,
264,,,,,,,,,,,92505.38,SL,sl,,,,,,,,,,,2025-12-10 16:20:02,,,,,,,,,True,False,,,0.34,0.34,0.0,,,,False,0,False,False,False,False,
266,,,,,,,,,,,92469.74,SL,sl,,,,,,,,,,,2025-12-10 17:17:39,,,,,,,,,True,False,,,0.25,0.25,0.0,,,,False,0,False,False,False,False,
267,,,,,,,,,,,92385.46,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-10 18:15:00,,,,,,,,,True,False,,,1.13,1.13,0.0,,,be,True,0,False,False,False,False,
270,,,,,,,,,,,91820.06,SL,sl,,,,,,,,,,,2025-12-11 00:21:27,,,,,,,,,True,False,,,0.24,0.24,0.0,,,,False,0,False,False,False,False,
272,,,,,,,,,,,90216.19,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-11 09:04:25,,,,,,,,,True,False,,,0.52,0.52,0.0,,,,False,0,False,False,False,False,
274,,,,,,,,,,,90478.45,SL,sl,,,,,,,,,,,2025-12-11 09:20:37,,,,,,,,,True,False,,,0.04,0.04,0.0,,,,False,0,False,False,False,False,
276,,,,,,,,,,,90437.85,SL,sl,,,,,,,,,,,2025-12-11 11:07:21,,,,,,,,,True,False,,,0.53,0.53,0.0,,,,False,0,False,False,False,False,
277,,,,,,,,,,,90287.7,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-11 11:35:00,,,,,,,,,True,False,,,0.43,0.43,0.0,,,,False,0,False,False,False,False,
278,,,,,,,,,,,89988.92,SL,sl,,,,,,,,,,,2025-12-11 13:15:36,,,,,,,,,True,False,,,0.92,0.92,0.0,,,,False,0,False,False,False,False,
281,,,,,,,,,,,90411.77,SL,sl,,,,,,,,,,,2025-12-11 12:32:35,,,,,,,,,True,False,,,0.71,0.71,0.0,,,,False,0,False,False,False,False,
283,,,,,,,,,,,90034.1,SL,sl,,,,,,,,,,,2025-12-11 12:58:32,,,,,,,,,True,False,,,0.15,0.15,0.0,,,,False,0,False,False,False,False,
284,,,,,,,,,,,90041.15,SL,sl,,,,,,,,,,,2025-12-11 12:58:25,,,,,,,,,True,False,,,0.05,0.05,0.0,,,,False,0,False,False,False,False,
288,,,,,,,,,,,90239.88,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-11 14:37:05,,,,,,,,,True,False,,,1.01,1.01,0.0,,,be,True,0,False,False,False,False,
289,,,,,,,,,,,89823.14,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-11 14:51:38,,,,,,,,,True,False,,,3.92,3.92,3.92,,,be,True,0,False,False,False,False,
292,,,,,,,,,,,90331.68,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-11 15:21:37,,,,,,,,,True,False,,,0.51,0.51,0.0,,,,False,0,False,False,False,False,
293,,,,,,,,,,,90229.38,MARKET_CLOSE,market_close,,,,,,,,,,,2025-12-11 15:23:16,,,,,,,,,True,False,,,0.5,0.5,0.0,,,,False,0,False,False,False,False,
