ticket,time,date,hour,symbol,dir,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
2,,,,,,,,,,,70943.39,SL,sl,,,,,,,,,,,2026-03-23 23:56:04,,,,,,,,,True,False,,,0.29,0.29,0.0,,,,False,0,False,False,False,False,
6,,,,,,,,,,,70741.74,SL,sl,,,,,,,,,,,2026-03-24 13:09:12,,,,,,,,,True,False,,,0.65,0.65,0.0,,,,False,0,False,False,False,False,
14,,,,,,,,,,,68627.56,SL,sl,,,,,,,,,,,2026-03-26 17:50:23,,,,,,,,,True,False,,,0.13,0.13,0.0,,,,False,0,False,False,False,False,
18,,,,,,,,,,,66170.75,SL,sl,,,,,,,,,,,2026-03-27 15:23:47,,,,,,,,,True,False,,,1.02,1.02,0.0,,,be,True,0,False,False,False,False,
20,,,,,,,,,,,65799.56,MARKET_CLOSE,market_close,,,,,,,,,,,2026-03-27 18:55:00,,,,,,,,,True,False,,,2.94,2.94,0.0,,,be,True,0,False,False,False,False,
21,,,,,,,,,,,65716.63,SL,sl,,,,,,,,,,,2026-03-27 19:01:41,,,,,,,,,True,False,,,1.07,1.07,0.0,,,be,True,0,False,False,False,False,
24,,,,,,,,,,,65907.93,SL,sl,,,,,,,,,,,2026-03-27 20:40:33,,,,,,,,,True,False,,,1.18,1.18,0.0,,,be,True,0,False,False,False,False,
26,,,,,,,,,,,66344.71,SL,sl,,,,,,,,,,,2026-03-28 12:13:16,,,,,,,,,True,False,,,0.91,0.91,0.0,,,,False,0,False,False,False,False,
28,,,,,,,,,,,66467.81,SL,sl,,,,,,,,,,,2026-03-28 12:17:28,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
29,,,,,,,,,,,66355.85,SL,sl,,,,,,,,,,,2026-03-28 12:49:18,,,,,,,,,True,False,,,1.05,1.05,0.0,,,be,True,0,False,False,False,False,
32,,,,,,,,,,,66468.97,SL,sl,,,,,,,,,,,2026-03-28 13:10:07,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
34,,,,,,,,,,,66669.57,SL,sl,,,,,,,,,,,2026-03-29 09:17:47,,,,,,,,,True,False,,,1.53,1.53,0.0,,,be,True,0,False,False,False,False,
36,,,,,,,,,,,66784.03,SL,sl,,,,,,,,,,,2026-03-29 11:06:58,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
38,,,,,,,,,,,66481.25,SL,sl,,,,,,,,,,,2026-03-29 14:26:54,,,,,,,,,True,False,,,2.09,2.09,0.0,,,be,True,0,False,False,False,False,
40,,,,,,,,,,,66515.81,SL,sl,,,,,,,,,,,2026-03-29 20:18:16,,,,,,,,,True,False,,,0.03,0.03,0.0,,,,False,0,False,False,False,False,
41,,,,,,,,,,,66556.25,SL,sl,,,,,,,,,,,2026-03-29 20:18:16,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
44,,,,,,,,,,,67439.75,SL,sl,,,,,,,,,,,2026-03-30 09:17:38,,,,,,,,,True,False,,,0.52,0.52,0.0,,,,False,0,False,False,False,False,
46,,,,,,,,,,,67799.41,MARKET_CLOSE,market_close,,,,,,,,,,,2026-03-30 11:26:56,,,,,,,,,True,False,,,7.25,7.25,7.25,,,be,True,0,False,False,False,False,
50,,,,,,,,,,,66804.06,SL,sl,,,,,,,,,,,2026-03-31 13:15:23,,,,,,,,,True,False,,,1.39,1.39,0.0,,,be,True,0,False,False,False,False,
58,,,,,,,,,,,68149.74,SL,sl,,,,,,,,,,,2026-04-01 13:07:01,,,,,,,,,True,False,,,0.6,0.6,0.0,,,,False,0,False,False,False,False,
62,,,,,,,,,,,69010.23,SL,sl,,,,,,,,,,,2026-04-01 17:03:04,,,,,,,,,True,False,,,0.59,0.59,0.0,,,,False,0,False,False,False,False,
65,,,,,,,,,,,68360.68,SL,sl,,,,,,,,,,,2026-04-01 17:34:42,,,,,,,,,True,False,,,0.14,0.14,0.0,,,,False,0,False,False,False,False,
66,,,,,,,,,,,68365.86,SL,sl,,,,,,,,,,,2026-04-01 17:34:42,,,,,,,,,True,False,,,0.14,0.14,0.0,,,,False,0,False,False,False,False,
70,,,,,,,,,,,67055.18,SL,sl,,,,,,,,,,,2026-04-03 12:02:12,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
71,,,,,,,,,,,67184.21,SL,sl,,,,,,,,,,,2026-04-03 12:30:01,,,,,,,,,True,False,,,0.49,0.49,0.0,,,,False,0,False,False,False,False,
73,,,,,,,,,,,66955.76,MARKET_CLOSE,market_close,,,,,,,,,,,2026-04-03 12:18:29,,,,,,,,,True,False,,,0.67,0.67,0.0,,,,False,0,False,False,False,False,
76,,,,,,,,,,,66804.74,MARKET_CLOSE,market_close,,,,,,,,,,,2026-04-03 18:55:01,,,,,,,,,True,False,,,0.82,0.82,0.0,,,,False,0,False,False,False,False,
77,,,,,,,,,,,66861.25,SL,sl,,,,,,,,,,,2026-04-03 22:07:59,,,,,,,,,True,False,,,1.01,1.01,0.0,,,be,True,0,False,False,False,False,
80,,,,,,,,,,,67172.14,SL,sl,,,,,,,,,,,2026-04-05 00:53:31,,,,,,,,,True,False,,,0.37,0.37,0.0,,,,False,0,False,False,False,False,
82,,,,,,,,,,,66912.39,SL,sl,,,,,,,,,,,2026-04-05 14:25:59,,,,,,,,,True,False,,,1.39,1.39,0.0,,,be,True,0,False,False,False,False,
84,,,,,,,,,,,66976.09,SL,sl,,,,,,,,,,,2026-04-05 15:16:41,,,,,,,,,True,False,,,0.62,0.62,0.0,,,,False,0,False,False,False,False,
85,,,,,,,,,,,66894.41,SL,sl,,,,,,,,,,,2026-04-05 15:08:26,,,,,,,,,True,False,,,1.11,1.11,0.0,,,be,True,0,False,False,False,False,
90,,,,,,,,,,,69439.12,MARKET_CLOSE,market_close,,,,,,,,,,,2026-04-06 14:00:43,,,,,,,,,True,False,,,1.03,1.03,0.0,,,be,True,0,False,False,False,False,
96,,,,,,,,,,,68446.32,SL,sl,,,,,,,,,,,2026-04-07 17:30:04,,,,,,,,,True,False,,,0.46,0.46,0.0,,,,False,0,False,False,False,False,
98,,,,,,,,,,,68834.44,SL,sl,,,,,,,,,,,2026-04-07 17:36:47,,,,,,,,,True,False,,,0.12,0.12,0.0,,,,False,0,False,False,False,False,
99,,,,,,,,,,,68846.9,SL,sl,,,,,,,,,,,2026-04-07 17:36:47,,,,,,,,,True,False,,,0.12,0.12,0.0,,,,False,0,False,False,False,False,
102,,,,,,,,,,,71411.46,SL,sl,,,,,,,,,,,2026-04-08 02:04:23,,,,,,,,,True,False,,,0.71,0.71,0.0,,,,False,0,False,False,False,False,
104,,,,,,,,,,,72143.41,SL,sl,,,,,,,,,,,2026-04-08 12:58:10,,,,,,,,,True,False,,,0.15,0.15,0.0,,,,False,0,False,False,False,False,
110,,,,,,,,,,,71685.05,SL,sl,,,,,,,,,,,2026-04-08 17:30:03,,,,,,,,,True,False,,,1.27,1.27,0.0,,,be,True,0,False,False,False,False,
116,,,,,,,,,,,72230.14,MARKET_CLOSE,market_close,,,,,,,,,,,2026-04-10 13:32:54,,,,,,,,,True,False,,,0.71,0.71,0.0,,,,False,0,False,False,False,False,
118,,,,,,,,,,,72115.9,SL,sl,,,,,,,,,,,2026-04-10 13:51:06,,,,,,,,,True,False,,,1.83,1.83,0.0,,,be,True,0,False,False,False,False,
120,,,,,,,,,,,72773.35,MARKET_CLOSE,market_close,,,,,,,,,,,2026-04-11 01:20:16,,,,,,,,,True,False,,,1.47,1.47,0.0,,,be,True,0,False,False,False,False,
134,,,,,,,,,,,71038.24,SL,sl,,,,,,,,,,,2026-04-12 20:08:11,,,,,,,,,True,False,,,0.17,0.17,0.0,,,,False,0,False,False,False,False,
136,,,,,,,,,,,71013.91,SL,sl,,,,,,,,,,,2026-04-13 04:45:29,,,,,,,,,True,False,,,1.63,1.63,0.0,,,be,True,0,False,False,False,False,
138,,,,,,,,,,,71001.08,SL,sl,,,,,,,,,,,2026-04-13 12:52:03,,,,,,,,,True,False,,,2.61,2.61,0.0,,,be,True,0,False,False,False,False,
142,,,,,,,,,,,71139.47,SL,sl,,,,,,,,,,,2026-04-13 12:53:56,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
148,,,,,,,,,,,74479.94,MARKET_CLOSE,market_close,,,,,,,,,,,2026-04-14 04:25:00,,,,,,,,,True,False,,,2.55,2.55,0.0,,,be,True,0,False,False,False,False,
149,,,,,,,,,,,74472.49,SL,sl,,,,,,,,,,,2026-04-14 04:48:01,,,,,,,,,True,False,,,1.04,1.04,0.0,,,be,True,0,False,False,False,False,
156,,,,,,,,,,,75348.6,SL,sl,,,,,,,,,,,2026-04-14 16:18:25,,,,,,,,,True,False,,,1.45,1.45,0.0,,,be,True,0,False,False,False,False,
158,,,,,,,,,,,75032.43,SL,sl,,,,,,,,,,,2026-04-14 16:50:41,,,,,,,,,True,False,,,0.14,0.14,0.0,,,,False,0,False,False,False,False,
159,,,,,,,,,,,74922.15,SL,sl,,,,,,,,,,,2026-04-14 16:52:58,,,,,,,,,True,False,,,0.09,0.09,0.0,,,,False,0,False,False,False,False,
164,,,,,,,,,,,74199.59,MARKET_CLOSE,market_close,,,,,,,,,,,2026-04-14 20:41:36,,,,,,,,,True,False,,,1.1,1.1,0.0,,,be,True,0,False,False,False,False,
171,,,,,,,,,,,74393.57,SL,sl,,,,,,,,,,,2026-04-15 00:03:51,,,,,,,,,True,False,,,0.38,0.38,0.0,,,,False,0,False,False,False,False,
173,,,,,,,,,,,74447.71,SL,sl,,,,,,,,,,,2026-04-15 00:04:40,,,,,,,,,True,False,,,0.53,0.53,0.0,,,,False,0,False,False,False,False,
174,,,,,,,,,,,74356.29,SL,sl,,,,,,,,,,,2026-04-15 00:01:57,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
175,,,,,,,,,,,74413.23,SL,sl,,,,,,,,,,,2026-04-15 00:03:52,,,,,,,,,True,False,,,0.22,0.22,0.0,,,,False,0,False,False,False,False,
180,,,,,,,,,,,74051.22,SL,sl,,,,,,,,,,,2026-04-15 08:33:46,,,,,,,,,True,False,,,0.02,0.02,0.0,,,,False,0,False,False,False,False,
182,,,,,,,,,,,74049.65,SL,sl,,,,,,,,,,,2026-04-15 11:11:12,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
184,,,,,,,,,,,74128.45,SL,sl,,,,,,,,,,,2026-04-15 14:38:59,,,,,,,,,True,False,,,1.53,1.53,0.0,,,be,True,0,False,False,False,False,
186,,,,,,,,,,,74742.64,SL,sl,,,,,,,,,,,2026-04-16 04:49:16,,,,,,,,,True,False,,,0.0,0.0,0.0,,,,False,0,False,False,False,False,
188,,,,,,,,,,,74747.58,SL,sl,,,,,,,,,,,2026-04-16 07:45:33,,,,,,,,,True,False,,,0.24,0.24,0.0,,,,False,0,False,False,False,False,
